"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)/Position,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960
0,0.982070865,0.97424652,0.96036878,0.940314255,0.919991575,0.90363861,0.89118715,0.8802319,0.87345027,0.86571636,0.859544495,0.8537496,0.843423965,0.829820745,0.8142649,0.78965082,0.71083325,0.485424905,0.145494475,0.01635846,0.000496175,0,0,0,0,0,0,0,0,0,0,0,0
0.0125,0.982047435,0.974286035,0.96037136,0.940387505,0.920059375,0.90376041,0.891205055,0.88043312,0.87349469,0.86594628,0.85968582,0.853877375,0.84358747,0.82992643,0.8146358,0.790190675,0.712939375,0.490277245,0.150133885,0.0170533,0.000529,0,0,0,0,0,0,0,0,0,0,0,0
0.025,0.982067685,0.97432477,0.960418475,0.940391455,0.92013,0.903936145,0.89124409,0.880605045,0.87362416,0.866069475,0.859887295,0.85401688,0.84373352,0.830182055,0.814915435,0.79065062,0.7148783,0.49535756,0.15425652,0.01769613,0.000545785,0,0,0,0,0,0,0,0,0,0,0,0
0.0375,0.9820495,0.97432597,0.96046686,0.94042134,0.920180285,0.904123785,0.89131236,0.880687835,0.87386091,0.866151545,0.860153115,0.85414106,0.843929665,0.830343855,0.8151423,0.79119532,0.71692305,0.50047001,0.15884726,0.01834741,0.00057925,1.69E-05,0,0,0,0,0,0,0,0,0,0,0
0.05,0.982064965,0.974359485,0.96043826,0.9405536,0.92024989,0.904265445,0.89135901,0.8808453,0.87399029,0.86628638,0.86027647,0.854217125,0.84413104,0.830546515,0.815458895,0.791818355,0.718635675,0.505509705,0.16311352,0.019243485,0.000612315,1.70E-05,0,0,0,0,0,0,0,0,0,0,0
0.0625,0.982095585,0.974334295,0.96047189,0.940534525,0.920333575,0.90433431,0.89149259,0.880943785,0.874192295,0.866381825,0.86041377,0.854309915,0.84427105,0.8307932,0.815618405,0.792377485,0.720556635,0.510662585,0.167338055,0.02019721,0.00066184,1.69E-05,0,0,0,0,0,0,0,0,0,0,0
0.075,0.98205571,0.974410925,0.96053097,0.940572635,0.92039642,0.904420465,0.891575595,0.88107476,0.87430418,0.86641798,0.86062791,0.854471065,0.84435805,0.831070685,0.815751245,0.792949215,0.722376525,0.51573265,0.17177683,0.02107017,0.00071225,1.69E-05,0,0,0,0,0,0,0,0,0,0,0
0.0875,0.982047455,0.974434185,0.960549465,0.940582015,0.92054481,0.90438725,0.891802325,0.881144685,0.874444475,0.86659238,0.860780795,0.854586275,0.84455181,0.83129882,0.81590937,0.7935661,0.724164645,0.520989275,0.17583646,0.021991355,0.000712685,1.69E-05,0,0,0,0,0,0,0,0,0,0,0
0.1,0.982056965,0.974477375,0.960603905,0.940563815,0.920627585,0.904460455,0.89191108,0.881220025,0.87461545,0.866704355,0.860990945,0.854710765,0.844655095,0.831488415,0.816181125,0.794122955,0.72587449,0.525995205,0.17959187,0.02295137,0.000779685,1.68E-05,0,0,0,0,0,0,0,0,0,0,0
0.1125,0.982032875,0.97447075,0.960663935,0.940630185,0.920671145,0.904603545,0.891962615,0.881327345,0.87471963,0.866894885,0.861072805,0.85487107,0.844761735,0.831673605,0.81646611,0.794651145,0.727676115,0.530633095,0.183941045,0.0239948,0.00087888,1.68E-05,0,0,0,0,0,0,0,0,0,0,0
