mu,gamma,delta,Nss,x,speed
0.05,0.1,1,4,0,0
0.05,0.1,0.95,4,0.002648659,0.34
0.04,0.06,0.8,10,0.005032983,0.51
0.095,0.085,0.8,28,0.005297318,0.55
0.05,0.02,0.5,4,0.005756249,0.52
0.05,0.1,0.9,4,0.006865117,0.57
0.09,0.07,0.75,20,0.007093067,0.6
0.04,0.05,0.7,8,0.007921338,0.52
0.005,0.05,0.5,4,0.007945977,0.72
0.07,0.06,0.65,20,0.008040439,0.66
0.05,0.1,0.85,4,0.008856325,0.65
0.06,0.06,0.6,15,0.009731532,0.76
0.07,0.09,0.7,13,0.010594636,0.9
0.05,0.1,0.8,4,0.010783595,0.88
0.05,0.1,0.5,35,0.012727931,1.07
0.05,0.1,0.5,32,0.012853567,0.93
0.05,0.1,0.5,29,0.013243295,1.13
0.08,0.08,0.6,13,0.013243304,0.95
0.005,0.1,0.5,4,0.013304328,1.08
0.1,0.07,0.65,7,0.013609303,0.99
0.05,0.1,0.5,26,0.013685069,0.96
0.035,0.05,0.5,4,0.014002079,1.02
0.05,0.1,0.5,23,0.014192379,1.02
0.03,0.12,0.7,8,0.014405491,1.04
0.1,0.12,0.75,10,0.014784399,1.06
0.05,0.1,0.5,20,0.014894504,1
0.05,0.1,0.75,4,0.01548946,1.12
0.065,0.05,0.5,4,0.015891954,1.2
0.05,0.1,0.5,18,0.016043117,1.17
0.05,0.1,0.7,4,0.016685514,1.2
0.05,0.1,0.5,16,0.016816646,1.15
0.095,0.05,0.5,4,0.017444969,1.275
0.01,0.1,0.5,4,0.017630191,1.25
0.04,0.08,0.4,12,0.01771265,1.24
0.005,0.15,0.5,4,0.018490214,1.24
0.05,0.1,0.5,14,0.018540613,1.38
0.125,0.05,0.5,4,0.01890523,1.38
0.155,0.05,0.5,4,0.019515492,1.42
0.05,0.1,0.5,11,0.01960227,1.39
0.05,0.1,0.65,4,0.019803345,1.33
0.015,0.1,0.5,4,0.020188055,1.27
0.05,0.1,0.5,10,0.020213056,1.46
0.11,0.07,0.3,15,0.020516424,1.47
0.05,0.1,0.5,9,0.020897482,1.375
0.018,0.1,0.5,4,0.021022425,1.5
0.05,0.1,0.6,4,0.021064009,1.5
0.02,0.1,0.5,4,0.021189272,1.5
0.005,0.2,0.5,4,0.021979279,1.56
0.05,0.1,0.5,8,0.022245374,1.44
0.05,0.1,0.5,7,0.022272478,1.6
0.05,0.08,0.5,4,0.022404927,1.58
0.07,0.09,0.4,10,0.02313817,1.65
0.025,0.1,0.5,4,0.023311158,1.65
0.05,0.085,0.5,4,0.023447159,1.63
0.05,0.1,0.5,6,0.023538276,1.59
0.03,0.1,0.5,4,0.023837931,1.71
0.05,0.09,0.5,4,0.024227051,1.7
0.035,0.1,0.5,4,0.024474167,1.7
0.005,0.25,0.5,4,0.024587974,1.71
0.05,0.1,0.55,4,0.02504947,1.8
0.05,0.1,0.5,5,0.02504947,1.5
0.05,0.095,0.5,4,0.025487002,1.77
0.08,0.08,0.2,12,0.025798037,1.82
0.04,0.1,0.5,4,0.02648659,1.86
0.045,0.1,0.5,4,0.02648659,1.83
0.05,0.1,0.5,4,0.02648659,1.82
0.05,0.1,0.5,4,0.02648659,1.82
0.05,0.1,0.5,4,0.027125279,1.89
0.05,0.1,0.5,4,0.027473755,1.88
0.05,0.105,0.5,4,0.027721795,1.92
0.055,0.1,0.5,4,0.027954598,1.8
0.06,0.1,0.5,4,0.028282115,1.95
0.065,0.1,0.5,4,0.028282115,1.93
0.065,0.1,0.5,4,0.028449233,1.96
0.05,0.1,0.45,4,0.028810981,1.95
0.07,0.1,0.5,4,0.029135249,1.95
0.075,0.1,0.5,4,0.029152261,2
0.05,0.11,0.5,4,0.02931223,1.96
0.05,0.1,0.5,3,0.029413684,2.03
0.085,0.1,0.5,4,0.029612907,1.7
0.05,0.115,0.5,4,0.030243933,2.02
0.095,0.1,0.5,4,0.030367705,2.09
0.05,0.12,0.5,4,0.03109671,2.08
0.105,0.1,0.5,4,0.03109671,2.1
0.095,0.1,0.5,4,0.031311837,2.14
0.115,0.1,0.5,4,0.031783908,2.15
0.05,0.125,0.5,4,0.031884592,2.1
0.05,0.1,0.4,4,0.032618051,2.12
0.125,0.1,0.5,4,0.032837418,2.2
0.035,0.15,0.5,4,0.033305123,2.18
0.125,0.1,0.5,4,0.033305123,2.23
0.15,0.1,0.5,4,0.033371004,2.3
0.155,0.1,0.5,4,0.034432566,2.31
0.05,0.1,0.5,2,0.034858312,2.25
0.05,0.1,0.35,4,0.035145236,2.25
0.05,0.15,0.5,4,0.035900003,2.46
0.065,0.15,0.5,4,0.037081225,2.52
0.05,0.1,0.3,4,0.038333663,2.52
0.08,0.11,0.15,10,0.039433265,2.6
0.05,0.17,0.5,4,0.040077713,2.58
0.095,0.15,0.5,4,0.040744881,2.67
0.035,0.2,0.5,4,0.042148574,2.66
0.05,0.19,0.5,4,0.042378543,2.86
0.13,0.12,0.3,7,0.042863857,2.78
0.09,0.11,0.25,6,0.043180027,2.82
0.125,0.15,0.5,4,0.04479925,2.8
0.05,0.1,0.2,4,0.045027202,3.1
0.155,0.15,0.5,4,0.045141864,2.85
0.05,0.21,0.5,4,0.046205164,2.98
0.065,0.2,0.5,4,0.047564658,3.04
