"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)\Position (micrometers),0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200
0,0.6,0.597333333,0.595,0.591,0.584,0.571666667,0.55,0.515,0.461,0.387333333,0.3,0.212666667,0.139,0.085,0.05,0.028333333,0.016,0.009,0.005,0.002666667,0.001333333,0.000666667,0.000333333,0.000333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.599829356,0.597346679,0.594892951,0.59080646,0.583666967,0.571120894,0.549304286,0.514183987,0.460508531,0.387583259,0.301227475,0.21453793,0.140885083,0.086536597,0.051004355,0.02899619,0.016372268,0.009206449,0.005113977,0.00273454,0.001377956,0.000689608,0.000354223,0.000313876,2.02E-05,6.65E-07,1.47E-08,2.44E-10,3.25E-12,3.62E-14,3.47E-16,2.92E-18,2.20E-20,1.51E-22,9.43E-25,5.47E-27,2.96E-29,1.50E-31,7.23E-34,3.31E-36,1.45E-38
2,0.599669867,0.597341441,0.594787514,0.590610029,0.583330732,0.570581685,0.548616159,0.513400865,0.460043606,0.387842224,0.302429921,0.216374634,0.142757046,0.088070385,0.052025339,0.029664878,0.016753386,0.009418093,0.005231134,0.002803968,0.001422771,0.000713709,0.00037292,0.00029922,3.69E-05,2.39E-06,1.05E-07,3.47E-09,9.21E-11,2.04E-12,3.89E-14,6.51E-16,9.73E-18,1.32E-19,1.64E-21,1.89E-23,2.04E-25,2.07E-27,1.99E-29,1.83E-31,1.62E-33
3,0.599519721,0.597320613,0.594682199,0.590410791,0.582991425,0.570047165,0.54793347,0.512641233,0.45959189,0.388092381,0.303591306,0.218164583,0.144606746,0.089597907,0.053059602,0.030339699,0.017142811,0.009634975,0.005351486,0.002874968,0.001467915,0.000738723,0.000390031,0.000288458,5.08E-05,4.86E-06,3.17E-07,1.57E-08,6.22E-10,2.06E-11,5.87E-13,1.47E-14,3.26E-16,6.56E-18,1.21E-19,2.04E-21,3.21E-23,4.73E-25,6.56E-27,8.62E-29,1.09E-30
4,0.599377411,0.597286656,0.594575925,0.590208901,0.582649528,0.569516925,0.547257108,0.511903341,0.459153092,0.388334054,0.304714013,0.219909574,0.146433364,0.09111916,0.054105481,0.031021211,0.017540249,0.00985716,0.005475064,0.00294757,0.001513498,0.000764479,0.000406025,0.000280869,6.26E-05,7.85E-06,6.76E-07,4.43E-08,2.33E-09,1.03E-10,3.89E-12,1.29E-13,3.82E-15,1.02E-16,2.48E-18,5.55E-20,1.15E-21,2.22E-23,4.02E-25,6.87E-27,1.13E-28
5,0.599241664,0.597241578,0.594467895,0.590004462,0.582305453,0.568990676,0.546587737,0.511185687,0.458726846,0.388567598,0.305800226,0.221611311,0.148236306,0.092633997,0.055161546,0.031709787,0.017945478,0.010084688,0.005601902,0.003021806,0.001559609,0.000790856,0.000421264,0.000275881,7.27E-05,1.12E-05,1.19E-06,9.68E-08,6.35E-09,3.49E-10,1.65E-11,6.82E-13,2.52E-14,8.37E-16,2.53E-17,7.05E-19,1.81E-20,4.35E-22,9.76E-24,2.06E-25,4.19E-27
6,0.599111408,0.597187018,0.594357529,0.589797545,0.581959549,0.568468227,0.545925851,0.510486972,0.458312737,0.388793378,0.306851952,0.22327141,0.150015161,0.094142171,0.056226547,0.032405653,0.018358321,0.010317585,0.005732034,0.003097714,0.00160632,0.000817773,0.000436024,0.000273041,8.16E-05,1.47E-05,1.86E-06,1.80E-07,1.41E-08,9.28E-10,5.25E-11,2.60E-12,1.15E-13,4.58E-15,1.66E-16,5.53E-18,1.70E-19,4.88E-21,1.31E-22,3.29E-24,8.00E-26
7,0.598985728,0.597124317,0.594244417,0.589588201,0.581612118,0.56794945,0.545271799,0.50980606,0.457910321,0.389011763,0.30787104,0.224891407,0.151769667,0.095643371,0.057299383,0.033108923,0.01877864,0.010555867,0.005865492,0.003175333,0.001653695,0.000845181,0.000450519,0.000271986,8.94E-05,1.83E-05,2.67E-06,3.00E-07,2.73E-08,2.09E-09,1.37E-10,7.93E-12,4.08E-13,1.89E-14,7.99E-16,3.10E-17,1.11E-18,3.70E-20,1.15E-21,3.38E-23,9.56E-25
8,0.598863849,0.597054575,0.594128278,0.589376468,0.581263419,0.567434269,0.544625826,0.509141952,0.457519145,0.389223113,0.308859197,0.226472765,0.153499685,0.097137246,0.05837907,0.033819621,0.019206317,0.01079954,0.00600231,0.003254701,0.00170179,0.000873051,0.000464915,0.000272429,9.65E-05,2.21E-05,3.63E-06,4.62E-07,4.78E-08,4.16E-09,3.12E-10,2.05E-11,1.20E-12,6.37E-14,3.07E-15,1.36E-16,5.56E-18,2.11E-19,7.51E-21,2.50E-22,8.11E-24
9,0.598745106,0.596978695,0.594008931,0.589162381,0.580913677,0.566922645,0.543988089,0.508493759,0.457138752,0.389427781,0.309818007,0.228016881,0.155205174,0.098623426,0.059464721,0.034537699,0.019641247,0.011048608,0.006142517,0.00333586,0.001750652,0.000901369,0.000479337,0.000274138,0.000103033,2.58E-05,4.71E-06,6.68E-07,7.73E-08,7.54E-09,6.34E-10,4.69E-11,3.09E-12,1.84E-13,9.94E-15,4.94E-16,2.27E-17,9.70E-19,3.87E-20,1.45E-21,5.30E-23
