"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)\Position (micrometers),0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200
0,1,0.995666667,0.992,0.985333333,0.973333333,0.952666667,0.916666667,0.858,0.768666667,0.645666667,0.5,0.354333333,0.231333333,0.142,0.083333333,0.047333333,0.026666667,0.014666667,0.008,0.004333333,0.002333333,0.001333333,0.000666667,0.000333333,0.000333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.999796618,0.995700034,0.991869605,0.985125335,0.973066693,0.952343249,0.916531552,0.858361108,0.769951378,0.648185385,0.503396907,0.357839722,0.23427901,0.144068056,0.084656597,0.04815403,0.027113294,0.014933325,0.008148353,0.004415253,0.002381941,0.001349934,0.000682884,0.000348983,0.000318026,1.55E-05,3.84E-07,6.37E-09,7.94E-11,7.93E-13,6.62E-15,4.75E-17,2.99E-19,1.69E-21,8.63E-24,4.04E-26,1.76E-28,7.12E-31,2.71E-33,9.80E-36,3.38E-38
2,0.999603755,0.995714988,0.991744682,0.984921984,0.972808646,0.952046258,0.916433128,0.858772098,0.771288456,0.650741374,0.506830307,0.361384973,0.237258886,0.146168384,0.086002275,0.04898505,0.027570566,0.01520348,0.008299334,0.0044988,0.002430667,0.001368034,0.000699084,0.000363248,0.00030558,2.89E-05,1.42E-06,4.68E-08,1.16E-09,2.32E-11,3.86E-13,5.52E-15,6.94E-17,7.82E-19,7.99E-21,7.52E-23,6.58E-25,5.41E-27,4.22E-29,3.14E-31,2.28E-33
3,0.999419846,0.99571345,0.991623045,0.984720526,0.972552044,0.951757114,0.916334535,0.859169385,0.772588433,0.653235858,0.510214808,0.364913124,0.240244921,0.148288894,0.087365991,0.049825529,0.028037681,0.015477275,0.008452898,0.00458394,0.002479642,0.001387496,0.000715277,0.000376385,0.000295568,4.05E-05,2.95E-06,1.45E-07,5.39E-09,1.61E-10,4.00E-12,8.57E-14,1.61E-15,2.71E-17,4.13E-19,5.80E-21,7.56E-23,9.24E-25,1.07E-26,1.17E-28,1.25E-30
4,0.999243812,0.995697572,0.991503699,0.984521001,0.972297135,0.951475216,0.916236044,0.859553581,0.773852681,0.655670974,0.513550167,0.36842277,0.243236394,0.150428883,0.088747575,0.050675952,0.028514362,0.015754959,0.008609055,0.00467066,0.002528979,0.001408206,0.000731478,0.000388609,0.000287634,5.07E-05,4.85E-06,3.17E-07,1.56E-08,6.20E-10,2.05E-11,5.85E-13,1.46E-14,3.25E-16,6.56E-18,1.21E-19,2.07E-21,3.30E-23,4.96E-25,7.06E-27,9.73E-29
5,0.999074707,0.995669196,0.991385845,0.984323408,0.972044128,0.951200041,0.916137874,0.859925277,0.77508252,0.658048743,0.516836291,0.371912598,0.246232529,0.15258767,0.09014686,0.051536737,0.029000392,0.016036745,0.008767824,0.004758952,0.002578775,0.001430063,0.000747703,0.000400101,0.000281477,5.96E-05,7.04E-06,5.70E-07,3.50E-08,1.73E-09,7.16E-11,2.54E-12,7.93E-14,2.20E-15,5.54E-17,1.27E-18,2.71E-20,5.36E-22,9.99E-24,1.76E-25,3.00E-27
6,0.998911697,0.995629903,0.991268836,0.984127715,0.971793195,0.950931128,0.916040193,0.860285044,0.776279219,0.660371081,0.520073213,0.375381383,0.249232508,0.154764581,0.091563676,0.052408245,0.029495603,0.016322816,0.008929234,0.004848816,0.002629115,0.001452984,0.000763972,0.000411009,0.000276843,6.76E-05,9.43E-06,9.10E-07,6.68E-08,3.95E-09,1.96E-10,8.33E-12,3.11E-13,1.03E-14,3.11E-16,8.52E-18,2.16E-19,5.07E-21,1.12E-22,2.33E-24,4.67E-26
7,0.998754049,0.995581051,0.991152159,0.983933868,0.971544473,0.950668072,0.915943135,0.860633423,0.777443999,0.662639805,0.523261075,0.378827987,0.252235483,0.156958952,0.092997854,0.053290791,0.02999987,0.016613335,0.009093316,0.004940256,0.00268007,0.001476898,0.000780306,0.00042146,0.000273518,7.47E-05,1.20E-05,1.34E-06,1.14E-07,7.84E-09,4.52E-10,2.24E-11,9.73E-13,3.77E-14,1.32E-15,4.20E-17,1.23E-18,3.36E-20,8.54E-22,2.04E-23,4.72E-25
8,0.998601116,0.99552381,0.991035408,0.983741798,0.971298069,0.950410517,0.915846801,0.860970933,0.778578034,0.664856648,0.526400112,0.382251363,0.255240582,0.159170128,0.094449219,0.054184644,0.030513101,0.016908445,0.009260109,0.005033282,0.002731703,0.001501742,0.000796723,0.000431558,0.000271322,8.11E-05,1.46E-05,1.85E-06,1.79E-07,1.40E-08,9.23E-10,5.22E-11,2.59E-12,1.14E-13,4.56E-15,1.66E-16,5.53E-18,1.71E-19,4.94E-21,1.34E-22,3.50E-24
9,0.998452327,0.995459188,0.990918263,0.983551427,0.971054064,0.950158146,0.915751267,0.861298065,0.779682451,0.667023264,0.529490641,0.385650544,0.258246918,0.161397452,0.095917591,0.055090039,0.031035231,0.017208272,0.009429654,0.005127905,0.002784068,0.001527467,0.000813245,0.000441393,0.000270101,8.70E-05,1.73E-05,2.44E-06,2.65E-07,2.33E-08,1.72E-09,1.09E-10,6.07E-12,3.01E-13,1.35E-14,5.50E-16,2.06E-17,7.15E-19,2.31E-20,6.99E-22,2.05E-23
10,0.998307178,0.995388057,0.990800481,0.98336267,0.970812517,0.949910675,0.915656591,0.861615287,0.780758331,0.669141233,0.532533043,0.389024646,0.261253596,0.163640272,0.097402783,0.056007174,0.031566221,0.017512932,0.009601995,0.005224143,0.002837211,0.001554029,0.000829893,0.000451038,0.000269728,9.24E-05,2.01E-05,3.11E-06,3.73E-07,3.63E-08,2.96E-09,2.09E-10,1.29E-11,7.10E-13,3.53E-14,1.60E-15,6.63E-17,2.55E-18,9.12E-20,3.06E-21,9.93E-23
11,0.998165225,0.995311171,0.990681877,0.983175442,0.970573466,0.949667853,0.915562814,0.86192304,0.781806713,0.671212068,0.535527762,0.392372865,0.264259721,0.165897938,0.098904603,0.056936222,0.032106049,0.01782253,0.009777178,0.005322015,0.002891176,0.001581393,0.000846685,0.000460555,0.000270093,9.74E-05,2.28E-05,3.86E-06,5.05E-07,5.38E-08,4.82E-09,3.73E-10,2.53E-11,1.53E-12,8.35E-14,4.15E-15,1.89E-16,8.00E-18,3.14E-19,1.15E-20,4.12E-22
12,0.998026073,0.995229182,0.990562314,0.982989655,0.970336933,0.949429451,0.915469963,0.862221742,0.782828593,0.673237218,0.538475289,0.395694469,0.267264399,0.168169797,0.100422849,0.057877328,0.032654709,0.018137162,0.00995525,0.00542154,0.002946,0.00160953,0.00086364,0.000469996,0.000271104,0.000102089,2.56E-05,4.67E-06,6.63E-07,7.67E-08,7.48E-09,6.29E-10,4.65E-11,3.06E-12,1.82E-13,9.86E-15,4.91E-16,2.26E-17,9.65E-19,3.86E-20,1.50E-21
13,0.997889373,0.995142658,0.990441696,0.982805227,0.970102925,0.949195266,0.915378055,0.862511789,0.783824924,0.675218078,0.541376154,0.398988799,0.270266745,0.170455197,0.101957309,0.058830614,0.033212206,0.018456919,0.01013626,0.005522744,0.003001715,0.001638415,0.000880777,0.000479406,0.000272684,0.000106526,2.83E-05,5.54E-06,8.47E-07,1.06E-07,1.11E-08,1.01E-09,8.08E-11,5.76E-12,3.71E-13,2.17E-14,1.17E-15,5.82E-17,2.69E-18,1.16E-19,4.92E-21
14,0.997754816,0.995052091,0.990319958,0.982622075,0.969871435,0.948965109,0.915287101,0.862793552,0.784796621,0.677155984,0.544230928,0.402255266,0.273265886,0.172753489,0.103507767,0.059796181,0.033778557,0.018781884,0.010320256,0.005625649,0.003058354,0.001668029,0.000898113,0.000488823,0.000274766,0.000110757,3.11E-05,6.47E-06,1.06E-06,1.41E-07,1.60E-08,1.56E-09,1.34E-10,1.03E-11,7.11E-13,4.48E-14,2.60E-15,1.39E-16,6.92E-18,3.22E-19,1.47E-20
15,0.997622128,0.994957909,0.990197063,0.982440123,0.969642447,0.948738811,0.915197102,0.863067386,0.785744562,0.679052225,0.547040205,0.405493343,0.276260965,0.175064019,0.105073992,0.06077411,0.034353784,0.019112138,0.01050729,0.005730284,0.003115942,0.001698358,0.000915663,0.000498278,0.000277295,0.000114822,3.38E-05,7.45E-06,1.29E-06,1.85E-07,2.23E-08,2.33E-09,2.14E-10,1.75E-11,1.30E-12,8.75E-14,5.42E-15,3.11E-16,1.66E-17,8.25E-19,4.03E-20
16,0.997491064,0.994860488,0.990072991,0.982259298,0.969415936,0.948516213,0.915108057,0.863333622,0.786669586,0.680908037,0.549804608,0.408702565,0.27925114,0.177386136,0.106655749,0.061764468,0.034937917,0.019447756,0.01069741,0.005836674,0.003174508,0.001729388,0.000933445,0.000507798,0.000280222,0.000118757,3.65E-05,8.48E-06,1.56E-06,2.36E-07,3.03E-08,3.36E-09,3.29E-10,2.87E-11,2.26E-12,1.63E-13,1.07E-14,6.56E-16,3.73E-17,1.98E-18,1.03E-19
17,0.997361407,0.994760154,0.989947742,0.982079531,0.969191871,0.948297172,0.915019958,0.863592576,0.787572496,0.682724614,0.552524778,0.411882526,0.282235592,0.179719191,0.10825279,0.062767301,0.035530989,0.019788813,0.010890667,0.005944849,0.003234074,0.001761112,0.000951471,0.000517406,0.000283509,0.00012259,3.92E-05,9.55E-06,1.85E-06,2.96E-07,4.02E-08,4.73E-09,4.91E-10,4.55E-11,3.80E-12,2.90E-13,2.03E-14,1.32E-15,7.95E-17,4.48E-18,2.49E-19
18,0.997232966,0.994657193,0.989821327,0.98190076,0.968970212,0.948081553,0.914932795,0.863844545,0.788454064,0.684503105,0.55520137,0.415032873,0.285213524,0.182062533,0.109864859,0.063782644,0.036133035,0.020135378,0.011087112,0.006054838,0.003294664,0.001793523,0.000969758,0.000527122,0.000287121,0.000126348,4.18E-05,1.07E-05,2.17E-06,3.66E-07,5.24E-08,6.51E-09,7.13E-10,6.98E-11,6.17E-12,4.98E-13,3.69E-14,2.53E-15,1.61E-16,9.62E-18,5.67E-19
19,0.997105567,0.994551855,0.989693766,0.981722926,0.968750917,0.947869229,0.914846557,0.86408981,0.789315026,0.686244617,0.557835055,0.418153307,0.288184161,0.184415517,0.111491691,0.064810516,0.036744094,0.020487519,0.011286795,0.006166671,0.0033563,0.001826618,0.000988317,0.000536963,0.00029103,0.00013005,4.45E-05,1.18E-05,2.52E-06,4.45E-07,6.70E-08,8.76E-09,1.01E-09,1.04E-10,9.72E-12,8.27E-13,6.46E-14,4.67E-15,3.14E-16,1.98E-17,1.23E-18
20,0.996979059,0.99444436,0.98956509,0.981545974,0.968533938,0.947660083,0.914761229,0.864328636,0.790156089,0.687950221,0.560426512,0.421243576,0.291146757,0.186777497,0.113133013,0.065850925,0.037364204,0.020845303,0.011489767,0.006280378,0.003419003,0.001860394,0.001007162,0.000546944,0.000295211,0.000133714,4.71E-05,1.30E-05,2.89E-06,5.35E-07,8.44E-08,1.16E-08,1.40E-09,1.52E-10,1.49E-11,1.33E-12,1.09E-13,8.32E-15,5.89E-16,3.89E-17,2.56E-18
21,0.996853303,0.994334903,0.989435332,0.981369857,0.968319228,0.947454005,0.914676795,0.864561275,0.790977929,0.689620946,0.562976424,0.424303473,0.294100588,0.189147834,0.114788543,0.066903866,0.037993405,0.021208795,0.011696078,0.00639599,0.003482794,0.001894852,0.001026305,0.000557078,0.000299644,0.000137356,4.97E-05,1.42E-05,3.29E-06,6.35E-07,1.05E-07,1.50E-08,1.91E-09,2.17E-10,2.23E-11,2.09E-12,1.80E-13,1.44E-14,1.06E-15,7.39E-17,5.11E-18
22,0.996728178,0.994223653,0.989304531,0.981194529,0.968106733,0.94725089,0.914593238,0.864787965,0.791781194,0.691257787,0.565485483,0.427332833,0.297044959,0.19152589,0.116457991,0.06796932,0.038631735,0.021578056,0.011905778,0.00651354,0.003547693,0.001929994,0.001045757,0.000567377,0.000304311,0.000140988,5.22E-05,1.54E-05,3.71E-06,7.46E-07,1.28E-07,1.92E-08,2.55E-09,3.03E-10,3.26E-11,3.19E-12,2.88E-13,2.40E-14,1.87E-15,1.36E-16,9.84E-18
23,0.996603575,0.994110762,0.989172729,0.981019949,0.9678964,0.947050637,0.91451054,0.86500893,0.792566504,0.692861706,0.567954379,0.430331533,0.299979203,0.193911035,0.118141057,0.069047262,0.03927923,0.02195315,0.012118918,0.00663306,0.003613721,0.001965821,0.001065529,0.000577849,0.000309198,0.000144622,5.48E-05,1.67E-05,4.16E-06,8.69E-07,1.56E-07,2.43E-08,3.36E-09,4.16E-10,4.67E-11,4.78E-12,4.50E-13,3.92E-14,3.18E-15,2.41E-16,1.83E-17
24,0.996479397,0.993996362,0.989039967,0.98084608,0.967688177,0.946853154,0.914428683,0.865224386,0.793334454,0.694433628,0.570383807,0.433299487,0.302902679,0.196302641,0.119837438,0.070137653,0.039935926,0.022334135,0.012335547,0.00675458,0.003680895,0.002002339,0.001085633,0.000588505,0.000314292,0.000148266,5.73E-05,1.80E-05,4.63E-06,1.00E-06,1.86E-07,3.03E-08,4.36E-09,5.62E-10,6.56E-11,7.00E-12,6.87E-13,6.25E-14,5.28E-15,4.18E-16,3.32E-17
25,0.996355556,0.993880572,0.98890629,0.980672889,0.967482007,0.94665835,0.914347648,0.865434532,0.794085612,0.695974451,0.572774458,0.436236642,0.305814775,0.198700091,0.12154682,0.071240445,0.040601857,0.02272107,0.012555715,0.006878135,0.003749238,0.002039553,0.001106077,0.000599353,0.000319584,0.000151929,5.99E-05,1.93E-05,5.12E-06,1.15E-06,2.21E-07,3.73E-08,5.58E-09,7.48E-10,9.08E-11,1.01E-11,1.03E-12,9.73E-14,8.56E-15,7.05E-16,5.84E-17
26,0.996231974,0.993763497,0.988771742,0.980500345,0.967277837,0.946466138,0.914267415,0.865639563,0.794820524,0.697485039,0.57512702,0.439142978,0.308714906,0.201102773,0.123268885,0.07235558,0.041277054,0.023114013,0.012779471,0.007003756,0.003818767,0.002077468,0.001126873,0.000610398,0.000325065,0.000155618,6.24E-05,2.06E-05,5.63E-06,1.31E-06,2.60E-07,4.55E-08,7.05E-09,9.81E-10,1.24E-10,1.43E-11,1.51E-12,1.48E-13,1.36E-14,1.16E-15,1.00E-16
27,0.996108582,0.99364523,0.988636367,0.98032842,0.967075613,0.946276437,0.914187965,0.865839659,0.795539713,0.698966229,0.57744218,0.442018506,0.311602518,0.20351008,0.125003307,0.073482993,0.041961544,0.023513019,0.013006865,0.007131477,0.003889503,0.002116091,0.001148029,0.00062165,0.000330728,0.000159339,6.49E-05,2.19E-05,6.17E-06,1.47E-06,3.04E-07,5.49E-08,8.82E-09,1.27E-09,1.66E-10,1.98E-11,2.18E-12,2.22E-13,2.11E-14,1.87E-15,1.68E-16
28,0.995985317,0.993525853,0.988500208,0.980157089,0.96687528,0.946089166,0.914109278,0.866034995,0.796243679,0.700418827,0.579720617,0.444863266,0.31447708,0.205921419,0.126749756,0.074622609,0.042655353,0.023918143,0.013237944,0.007261332,0.003961465,0.002155431,0.001169555,0.000633113,0.000336566,0.000163098,6.74E-05,2.33E-05,6.73E-06,1.66E-06,3.52E-07,6.58E-08,1.09E-08,1.63E-09,2.20E-10,2.72E-11,3.10E-12,3.27E-13,3.22E-14,2.96E-15,2.76E-16
29,0.995862123,0.993405443,0.988363307,0.979986331,0.966676786,0.945904251,0.914031335,0.866225733,0.796932903,0.701843615,0.581963008,0.44767732,0.317338092,0.208336201,0.128507897,0.075774343,0.043358503,0.024329438,0.013472757,0.007393352,0.004034673,0.002195494,0.001191461,0.000644793,0.000342576,0.000166898,7.00E-05,2.46E-05,7.31E-06,1.85E-06,4.05E-07,7.81E-08,1.34E-08,2.06E-09,2.88E-10,3.68E-11,4.34E-12,4.74E-13,4.82E-14,4.59E-15,4.44E-16
30,0.995738951,0.993284065,0.988225705,0.979816125,0.966480079,0.945721617,0.913954115,0.866412031,0.797607846,0.703241348,0.58417002,0.450460759,0.320185079,0.210753849,0.130277389,0.076938105,0.044071013,0.024746955,0.013711352,0.007527572,0.004109148,0.002236291,0.001213754,0.000656697,0.000348753,0.000170745,7.25E-05,2.60E-05,7.91E-06,2.06E-06,4.63E-07,9.20E-08,1.62E-08,2.58E-09,3.73E-10,4.92E-11,5.99E-12,6.76E-13,7.10E-14,6.99E-15,7.01E-16
31,0.995615754,0.99316178,0.988087441,0.979646452,0.966285107,0.945541195,0.9138776,0.866594037,0.79826895,0.704612754,0.586342315,0.453213693,0.323017593,0.213173796,0.13205789,0.078113796,0.044792898,0.025170745,0.013953778,0.007664025,0.004184908,0.002277831,0.001236444,0.000668828,0.000355094,0.000174642,7.50E-05,2.74E-05,8.53E-06,2.27E-06,5.27E-07,1.08E-07,1.96E-08,3.21E-09,4.77E-10,6.50E-11,8.17E-12,9.50E-13,1.03E-13,1.05E-14,1.09E-15
32,0.995492494,0.993038641,0.987948554,0.979477295,0.966091821,0.945362915,0.91380177,0.866771892,0.798916637,0.70595854,0.588480546,0.455936253,0.325835212,0.215595484,0.13384905,0.07930131,0.045524169,0.025600856,0.01420008,0.007802744,0.004261974,0.002320122,0.001259539,0.000681193,0.000361597,0.000178593,7.76E-05,2.89E-05,9.16E-06,2.50E-06,5.96E-07,1.25E-07,2.34E-08,3.95E-09,6.05E-10,8.49E-11,1.10E-11,1.32E-12,1.48E-13,1.55E-14,1.66E-15
33,0.995369134,0.992914697,0.98780908,0.979308641,0.965900173,0.945186713,0.913726606,0.866945732,0.799551316,0.707279387,0.590585359,0.45862859,0.328637539,0.218018368,0.13565052,0.080500533,0.046264834,0.026037335,0.014450305,0.007943764,0.004340368,0.002363177,0.001283049,0.000693795,0.000368261,0.0001826,8.02E-05,3.03E-05,9.82E-06,2.74E-06,6.70E-07,1.44E-07,2.78E-08,4.82E-09,7.60E-10,1.10E-10,1.46E-11,1.81E-12,2.08E-13,2.25E-14,2.50E-15
34,0.995245643,0.992789992,0.987669053,0.979140474,0.965710114,0.945012524,0.913652087,0.867115684,0.800173376,0.708575954,0.592657388,0.461290871,0.331424203,0.220441912,0.137461947,0.081711345,0.047014898,0.026480227,0.014704501,0.008087118,0.004420108,0.002407004,0.00130698,0.00070664,0.000375084,0.000186666,8.27E-05,3.18E-05,1.05E-05,3.00E-06,7.50E-07,1.66E-07,3.27E-08,5.83E-09,9.46E-10,1.41E-10,1.93E-11,2.45E-12,2.91E-13,3.23E-14,3.70E-15
35,0.995121991,0.992664566,0.987528507,0.978972784,0.965521599,0.944840287,0.913578196,0.867281871,0.800783193,0.70984888,0.594697262,0.463923281,0.334194856,0.222865594,0.139282975,0.082933619,0.04777436,0.026929576,0.014962711,0.008232839,0.004501216,0.002451617,0.001331342,0.000719733,0.000382065,0.000190795,8.53E-05,3.32E-05,1.12E-05,3.26E-06,8.35E-07,1.89E-07,3.83E-08,7.02E-09,1.17E-09,1.78E-10,2.51E-11,3.29E-12,4.01E-13,4.58E-14,5.40E-15
